ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,  COORD-COORD1,  COORD-COORD2
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2053,       318.410,      -31.6566,            0.,NA,NA,"",       317.090,      -25.3489
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2056,       275.986,      -21.4471,            0.,NA,NA,"",       274.727,      -17.3937
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2057,       265.265,      -29.9719,            0.,NA,NA,"",       263.786,      -32.9291
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2067,       303.022,      -20.2948,            0.,NA,NA,"",       306.301,      -20.6356
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2069,       308.065,      -19.8899,            0.,NA,NA,"",       306.301,      -20.6356
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2072,       313.959,      -23.1857,            0.,NA,NA,"",       317.090,      -25.3489
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2073,       328.381,      -20.8485,            0.,NA,NA,"",       326.946,      -22.8826
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2074,       322.032,      -23.3678,            0.,NA,NA,"",       322.018,      -24.1158
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2077,       260.806,      -31.6798,            0.,NA,NA,"",       263.786,      -32.9291
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2079,       306.051,      -22.4678,            0.,NA,NA,"",       306.301,      -20.6356
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2084,       277.290,      -15.9462,            0.,NA,NA,"",       274.727,      -17.3937
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2112,       272.816,      -16.0906,            0.,NA,NA,"",       274.727,      -17.3937
